region_id,region_type,Neighborhood,State,Metro_Area,City,County
276311,neigh,East Reno,NV,"Reno, NV",Reno,Washoe County
193476,neigh,Brighton Beach,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Kings County
270835,neigh,Financial District,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,New York County
271568,neigh,South Dallas, TX," Dallas-Fort Worth-Arlington, TX", Dallas County, Dallas
8731,neigh,Fort Hamilton, NY, New York-Newark-Jersey City, Kings County, New York
274157,neigh,Journal Square,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Jersey City,Hudson County
232843,neigh,Eagle Ford, TX," Dallas-Fort Worth-Arlington, TX", Dallas County, Dallas
275414,neigh,South Boulevard-Park Row Historic, TX," Dallas-Fort Worth-Arlington, TX", Dallas County, Dallas
270908,neigh,Pelham Gardens,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Bronx County
270815,neigh,Clinton Hill,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Kings County
268097,neigh,Crenshaw,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles County
270907,neigh,Pelham Bay,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Bronx County
274676,neigh,Kew Gardens,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Queens County
623416,neigh,Flamingo Lummus,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami Beach,Miami-Dade County
276653,neigh,West Side,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Jersey City,Hudson County
268491,neigh,South of Market,CA,"San Francisco-Oakland-Berkeley, CA",San Francisco,San Francisco County
273753,neigh,Forest Hill,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Newark,Essex County
403209,neigh,Belmont,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Bronx County
403122,neigh,Brooklyn Heights,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Kings County
276331,neigh,Fenway,MA,"Boston-Cambridge-Newton, MA-NH",Boston,Suffolk County
18921,neigh,Lake Ridge,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Woodbridge,Prince William County
272945,neigh,Bergen-Lafayette,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Jersey City,Hudson County
270946,neigh,Sutton Place,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,New York County
238911,neigh,Westwood,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,Harris County
268057,neigh,Central City East,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles County
270812,neigh,Castle Hill,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Bronx County
422826,neigh,Jenkins Heights - Crest Ridge,TX,"Dallas-Fort Worth-Arlington, TX",Fort Worth,Tarrant County
276565,neigh,Silver Lake,WA,"Seattle-Tacoma-Bellevue, WA",Everett,Snohomish County
416309,neigh,Hellman,CA,"Los Angeles-Long Beach-Anaheim, CA",Long Beach,Los Angeles County
270969,neigh,Wingate,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Kings County
274464,neigh,McGinley Square,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Jersey City,Hudson County
764248,neigh,Eastside,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Paterson,Passaic County
273494,neigh,Downtown,CT,"Bridgeport-Stamford-Norwalk, CT",Stamford,Fairfield County
133535,neigh,Waikiki,HI,"Urban Honolulu, HI",Honolulu,Honolulu County
763036,neigh,Vista Las Palmas,CA,"Riverside-San Bernardino-Ontario, CA",Palm Springs,Riverside County
269310,neigh,East Augusta,GA,"Augusta-Richmond County, GA-SC",Augusta,Richmond County
270846,neigh,Gowanus,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Kings County
191484,neigh,Lordsburg,CA,"Los Angeles-Long Beach-Anaheim, CA",La Verne,Los Angeles County
190055,neigh,Riverside,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Paterson,Passaic County
276258,neigh,Citrus Grove,CA,"Los Angeles-Long Beach-Anaheim, CA",Glendale,Los Angeles County
270953,neigh,Turtle Bay,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,New York County
233290,neigh,Flour Bluff,TX,"Corpus Christi, TX",Corpus Christi,Nueces County
276165,neigh,Wynwood - Edgewater,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami,Miami-Dade County
403220,neigh,Prospect Heights,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Kings County
403537,neigh,Astrodome Area,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,Harris County
275830,neigh,Upper Roseville,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Newark,Essex County
268404,neigh,Pico-Union,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles County
763778,neigh,Wilshire/Montana,CA,"Los Angeles-Long Beach-Anaheim, CA",Santa Monica,Los Angeles County
48570,neigh,Woodland Hills,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles County
115003,neigh,Evergreen,CA,"San Jose-Sunnyvale-Santa Clara, CA",San Jose,Santa Clara County
267900,neigh,Ahwatukee Foothills,AZ,"Phoenix-Mesa-Chandler, AZ",Phoenix,Maricopa County
113886,neigh,Boyle Heights,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles County
18071,neigh,Far Rockaway,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Queens County
27080,neigh,Sherman Oaks,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles County
270318,neigh,North Raleigh,NC,"Raleigh-Cary, NC",Raleigh,Wake County
193526,neigh,Brownsville,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Kings County
113876,neigh,Boulevard,OH,"Cleveland-Elyria, OH",Shaker Heights,Cuyahoga County
43373,neigh,South Dennis,MA,"Barnstable Town, MA",Dennis,Barnstable County
270220,neigh,Kingsway East,MO,"St. Louis, MO-IL",Saint Louis,Saint Louis City
275834,neigh,Upper West Ridge,WA,"Seattle-Tacoma-Bellevue, WA",Woodinville,King County
273270,neigh,Clanton Park-Roseland,NC,"Charlotte-Concord-Gastonia, NC-SC",Charlotte,Mecklenburg County
816955,neigh,Prescott,KS,"Kansas City, MO-KS",Kansas City,Wyandotte County
21416,neigh,York Harbor,ME,"Portland-South Portland, ME",York,York County
274776,neigh,Northern Barton Heights,VA,"Richmond, VA",Richmond,Richmond City
271158,neigh,Cedar Park,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,Philadelphia County
200632,neigh,Evanston,OH,"Cincinnati, OH-KY-IN",Cincinnati,Hamilton County
416053,neigh,Sweetwater,OH,"Columbus, OH",Hilliard,Franklin County
214731,neigh,Preston Park,VA,"Roanoke, VA",Roanoke,Roanoke City
276586,neigh,St. Louis Hills,MO,"St. Louis, MO-IL",Saint Louis,Saint Louis City
762095,neigh,Sunrise Oaks,CA,"Sacramento-Roseville-Folsom, CA",Citrus Heights,Sacramento County
416938,neigh,Canyon Creek,TX,"Dallas-Fort Worth-Arlington, TX",Richardson,Collin County
816096,neigh,Chaffey,CA,"Riverside-San Bernardino-Ontario, CA",Rancho Cucamonga,San Bernardino County
274374,neigh,Upper Vailsburg,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Newark,Essex County
273903,neigh,Greenwood,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Kings County
343223,neigh,Baychester,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Bronx County
271225,neigh,University City,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,Philadelphia County
270885,neigh,Midtown,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,New York County
809906,neigh,Headquarters Island,SC,"Charleston-North Charleston, SC",Charleston,Charleston County
761152,neigh,South Corals,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Oakland Park,Broward County
761713,neigh,Presidio in the Pines,AZ,"Flagstaff, AZ",Flagstaff,Coconino County
816117,neigh,Kimberly Hills,MI,"Ann Arbor, MI",Ann Arbor,Washtenaw County
762146,neigh,Arch Creek East,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",North Miami,Miami-Dade County
197174,neigh,Pinebrook,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Brooklyn Park,Hennepin County
763189,neigh,South Village,FL,"Orlando-Kissimmee-Sanford, FL",Kissimmee,Osceola County
275036,neigh,Pinewood,AL,"Mobile, AL",Mobile,Mobile County
273559,neigh,East of I-30,AR,"Little Rock-North Little Rock-Conway, AR",Little Rock,Pulaski County
269193,neigh,Propect-Southland Park,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",West Palm Beach,Palm Beach County
116053,neigh,Laguna West,CA,"Sacramento-Roseville-Folsom, CA",Elk Grove,Sacramento County
762254,neigh,Rainbow Ridge,CA,"Riverside-San Bernardino-Ontario, CA",Moreno Valley,Riverside County
776500,neigh,Park Hill,NY,"New York-Newark-Jersey City, NY-NJ-PA",Yonkers,Westchester County
274188,neigh,Kingfield,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,Hennepin County
154942,neigh,Maplewood,MA,"Boston-Cambridge-Newton, MA-NH",Malden,Middlesex County
273138,neigh,Carmel,NC,"Charlotte-Concord-Gastonia, NC-SC",Charlotte,Mecklenburg County
169725,neigh,Duluth Heights,MN,"Duluth, MN-WI",Duluth,Saint Louis County
270862,neigh,Kenfield,NY,"Buffalo-Cheektowaga, NY",Buffalo,Erie County
12980,neigh,Newton Upper Falls,MA,"Boston-Cambridge-Newton, MA-NH",Newton,Middlesex County
129705,neigh,Kirkwood,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,Dekalb County
140292,neigh,Sauganash,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
251627,neigh,Pinehurst,WA,"Seattle-Tacoma-Bellevue, WA",Everett,Snohomish County
270987,neigh,Edgewater,OH,"Cleveland-Elyria, OH",Cleveland,Cuyahoga County
269206,neigh,Tampa Heights,FL,"Tampa-St. Petersburg-Clearwater, FL",Tampa,Hillsborough County
403183,neigh,Beverlywood,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles County
272138,neigh,Jackson Park,WI,"Milwaukee-Waukesha, WI",Milwaukee,Milwaukee County
119762,neigh,Hilltop,CO,"Denver-Aurora-Lakewood, CO",Denver,Denver County
271242,neigh,Lower South Providence,RI,"Providence-Warwick, RI-MA",Providence,Providence County
268628,neigh,Capitol Hill,CO,"Denver-Aurora-Lakewood, CO",Denver,Denver County
272869,neigh,Battery Park,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,New York County
271939,neigh,North Image,WA,"Portland-Vancouver-Hillsboro, OR-WA",Vancouver,Clark County
273399,neigh,Crescent Hill,KY,"Louisville/Jefferson County, KY-IN",Louisville,Jefferson County
121756,neigh,Marshall Heights,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,District of Columbia
415911,neigh,Strawberry Farms,OH,"Columbus, OH",Columbus,Franklin County
271127,neigh,Roseway,OR,"Portland-Vancouver-Hillsboro, OR-WA",Portland,Multnomah County
761969,neigh,Sunrise Ranch,CA,"Sacramento-Roseville-Folsom, CA",Citrus Heights,Sacramento County
273353,neigh,Coronado,TX,"El Paso, TX",El Paso,El Paso County
46015,neigh,Kenmore,MA,"Boston-Cambridge-Newton, MA-NH",Boston,Suffolk County
268772,neigh,Washington Park,CO,"Denver-Aurora-Lakewood, CO",Denver,Denver County
242316,neigh,Cavalier Manor,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Portsmouth,Portsmouth City
623388,neigh,River West,OR,"Bend, OR",Bend,Deschutes County
407493,neigh,North Shore,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami Beach,Miami-Dade County
274425,neigh,Mariposa,CA,"Los Angeles-Long Beach-Anaheim, CA",Glendale,Los Angeles County
271635,neigh,West University,TX,"Austin-Round Rock-Georgetown, TX",Austin,Travis County
269306,neigh,Downtown,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,Fulton County
272060,neigh,Capitol,WI,"Madison, WI",Madison,Dane County
270968,neigh,Windsor Terrace,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Kings County
274795,neigh,Northwest,TX,"Corpus Christi, TX",Corpus Christi,Nueces County
269878,neigh,Otterbein,MD,"Baltimore-Columbia-Towson, MD",Baltimore,Baltimore City
807942,neigh,Rancho Viejo,TX,"Laredo, TX",Laredo,Webb County
225941,neigh,Colonial Heights,OH,"Canton-Massillon, OH",Canton,Stark County
259346,neigh,Baldwin Park,GA,"Savannah, GA",Savannah,Chatham County
804420,neigh,Woorbury,NC,"Charlotte-Concord-Gastonia, NC-SC",Charlotte,Mecklenburg County
416929,neigh,North College Park,TX,"Dallas-Fort Worth-Arlington, TX",Richardson,Dallas County
268971,neigh,East Central Park,FL,"Orlando-Kissimmee-Sanford, FL",Orlando,Orange County
764320,neigh,Greater Gubser,OR,"Salem, OR",Keizer,Marion County
762810,neigh,South White Rock,CA,"Sacramento-Roseville-Folsom, CA",Rancho Cordova,Sacramento County
810991,neigh,Downtown,CA,"Los Angeles-Long Beach-Anaheim, CA",Huntington Beach,Orange County
15856,neigh,Mission Hill,MA,"Boston-Cambridge-Newton, MA-NH",Boston,Suffolk County
125932,neigh,Riverside,FL,"Jacksonville, FL",Jacksonville,Duval County
272970,neigh,Black Mountain,NV,"Las Vegas-Henderson-Paradise, NV",Henderson,Clark County
273567,neigh,East Side,CA,"Los Angeles-Long Beach-Anaheim, CA",Long Beach,Los Angeles County
275161,neigh,Richmond Factory,GA,"Augusta-Richmond County, GA-SC",Hephzibah,Richmond County
207383,neigh,Powell Valley,OR,"Portland-Vancouver-Hillsboro, OR-WA",Gresham,Multnomah County
125083,neigh,Lely Resort,FL,"Naples-Marco Island, FL",Naples,Collier County
123568,neigh,Bayard, FL," Jacksonville, FL", Duval County, Jacksonville
264176,neigh,Totowa,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Paterson,Passaic County
276196,neigh,Barrio Logan,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego,San Diego County
273257,neigh,City Center,CA,"Los Angeles-Long Beach-Anaheim, CA",Glendale,Los Angeles County
54583,neigh,Stowe,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pottstown,Montgomery County
761791,neigh,Price's Run,DE,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Wilmington,New Castle County
763706,neigh,Elton Hills,MN,"Rochester, MN",Rochester,Olmsted County
271632,neigh,West Congress,TX,"Austin-Round Rock-Georgetown, TX",Austin,Travis County
268337,neigh,Nob Hill,CA,"San Francisco-Oakland-Berkeley, CA",San Francisco,San Francisco County
273907,neigh,Grier Heights,NC,"Charlotte-Concord-Gastonia, NC-SC",Charlotte,Mecklenburg County
270274,neigh,Walnut Park West,MO,"St. Louis, MO-IL",Saint Louis,Saint Louis City
271857,neigh,Eastlake,WA,"Seattle-Tacoma-Bellevue, WA",Seattle,King County
415023,neigh,Pasadena,WI,"Milwaukee-Waukesha, WI",Wauwatosa,Milwaukee County
270972,neigh,Burkhardt,OH,"Dayton-Kettering, OH",Dayton,Montgomery County
762612,neigh,River Oaks/Brookhollow,TX,"Abilene, TX",Abilene,Taylor County
272772,neigh,Annex,CT,"New Haven-Milford, CT",New Haven,New Haven County
343875,neigh,South Central,NC,"Raleigh-Cary, NC",Raleigh,Wake County
167155,neigh,Fair Plain,MI,"Niles, MI",Benton Harbor,Berrien County
201379,neigh,Howland Center,OH,"Youngstown-Warren-Boardman, OH-PA",Warren,Trumbull County
270935,neigh,South Park,NY,"Buffalo-Cheektowaga, NY",Buffalo,Erie County
816766,neigh,Gleannloch Farms,TX,"Houston-The Woodlands-Sugar Land, TX",Spring,Harris County
251740,neigh,Ridgecrest,WA,"Seattle-Tacoma-Bellevue, WA",Shoreline,King County
121777,neigh,Randle Highlands,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,District of Columbia
198587,neigh,Van Nest,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Bronx County
7165,neigh,South Paterson,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Paterson,Passaic County
416302,neigh,Alamitos Beach,CA,"Los Angeles-Long Beach-Anaheim, CA",Long Beach,Los Angeles County
273175,neigh,"Ceder Grove, Lynbrook",LA,"Shreveport-Bossier City, LA",Shreveport,Caddo Parish
35961,neigh,Rockaway Park,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Queens County
118904,neigh,Western Addition,CA,"San Francisco-Oakland-Berkeley, CA",San Francisco,San Francisco County
403193,neigh,Arlington Heights,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles County
153287,neigh,Sandy Hill,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Paterson,Passaic County
403228,neigh,Hillcrest, NY, New York-Newark-Jersey City, Queens County, New York
269717,neigh,Mid-City,LA,"New Orleans-Metairie, LA",New Orleans,Orleans Parish
806192,neigh,San Bernardo,MI,"Detroit-Warren-Dearborn, MI",Detroit,Wayne County
271209,neigh,Polish Hill,PA,"Pittsburgh, PA",Pittsburgh,Allegheny County
806042,neigh,Bluefields,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville,Davidson County
276403,neigh,Key Coalition,MO,"Kansas City, MO-KS",Kansas City,Jackson County
809206,neigh,Pine Grove,NC,"Wilmington, NC",Wilmington,New Hanover County
808038,neigh,Tiffany Pines,NC,"Fayetteville, NC",Fayetteville,Cumberland County
762057,neigh,Avery Park,CO,"Fort Collins, CO",Fort Collins,Larimer County
274035,neigh,Historic Milwaukie,OR,"Portland-Vancouver-Hillsboro, OR-WA",Milwaukie,Clackamas County
215854,neigh,Southwest,OR,"Portland-Vancouver-Hillsboro, OR-WA",Gresham,Multnomah County
203932,neigh,Tremont,OH,"Cleveland-Elyria, OH",Cleveland,Cuyahoga County
272785,neigh,Arden Heights,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Richmond County
271781,neigh,South East Lake,AL,"Birmingham-Hoover, AL",Birmingham,Jefferson County
124837,neigh,Inwood,FL,"Lakeland-Winter Haven, FL",Winter Haven,Polk County
763694,neigh,Southside,TX,"College Station-Bryan, TX",College Station,Brazos County
172942,neigh,Gibbs,OH,"Canton-Massillon, OH",Canton,Stark County
809726,neigh,Skyline,CA,"San Francisco-Oakland-Berkeley, CA",Daly City,San Mateo County
396699,neigh,South Valley Stream,NY,"New York-Newark-Jersey City, NY-NJ-PA",Valley Stream,Nassau County
274381,neigh,Lyndale,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,Hennepin County
271028,neigh,Old North Dayton,OH,"Dayton-Kettering, OH",Dayton,Montgomery County
274184,neigh,Kimber-Gomes,CA,"San Francisco-Oakland-Berkeley, CA",Fremont,Alameda County
273048,neigh,Broadmoor,LA,"New Orleans-Metairie, LA",New Orleans,Orleans Parish
762652,neigh,Old Mountain View,CA,"San Jose-Sunnyvale-Santa Clara, CA",Mountain View,Santa Clara County
806493,neigh,Norwood,TN,"Knoxville, TN",Knoxville,Knox County
276294,neigh,Denny Whitford - Raleigh West,OR,"Portland-Vancouver-Hillsboro, OR-WA",Beaverton,Washington County
809156,neigh,Hidden Oaks,FL,"Port St. Lucie, FL",Port Saint Lucie,Saint Lucie County
270120,neigh,Howe,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,Hennepin County
268720,neigh,Platt Park,CO,"Denver-Aurora-Lakewood, CO",Denver,Denver County
275472,neigh,Southeast Como,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,Hennepin County
416877,neigh,Colonial Heights,CA,"Stockton, CA",Stockton,San Joaquin County
276619,neigh,Upper Clinton Hill,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Newark,Essex County
270811,neigh,Carroll Gardens,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Kings County
121704,neigh,Dupont Circle,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,District of Columbia
811178,neigh,Southern Hills,KS,"Topeka, KS",Topeka,Shawnee County
761870,neigh,Parkwood,CO,"Fort Collins, CO",Fort Collins,Larimer County
763643,neigh,Mahaffie-Westerfield,KS,"Kansas City, MO-KS",Olathe,Johnson County
342752,neigh,Horseshoe Park,CO,"Denver-Aurora-Lakewood, CO",Aurora,Arapahoe County
114649,neigh,Del Mar Heights,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego,San Diego County
396874,neigh,Fort Pierce North,FL,"Port St. Lucie, FL",Fort Pierce,Saint Lucie County
267849,neigh,Rabbit Creek,AK,"Anchorage, AK",Anchorage,Anchorage Borough
245396,neigh,Marumsco Village,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Woodbridge,Prince William County
275990,neigh,West Side,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Newark,Essex County
416315,neigh,Zaferia,CA,"Los Angeles-Long Beach-Anaheim, CA",Long Beach,Los Angeles County
270861,neigh,Jamaica Hills,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Queens County
343219,neigh,Riverdale,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Bronx County
763504,neigh,South Park,TX,"Beaumont-Port Arthur, TX",Beaumont,Jefferson County
275806,neigh,The Ohio State University,OH,"Columbus, OH",Columbus,Franklin County
270829,neigh,East Village,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,New York County
243334,neigh,Estabrook,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Norfolk,Norfolk City
762879,neigh,Scott Highlands,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Apple Valley,Dakota County
753728,neigh,North Baton Rouge,LA,"Baton Rouge, LA",Baton Rouge,East Baton Rouge Parish
55801,neigh,Glen Oaks,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Queens County
269690,neigh,Central City,LA,"New Orleans-Metairie, LA",New Orleans,Orleans Parish
762573,neigh,Downtown,NY,"New York-Newark-Jersey City, NY-NJ-PA",Mount Vernon,Westchester County
193555,neigh,Bulls Head,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Richmond County
275351,neigh,Shaw,MO,"St. Louis, MO-IL",Saint Louis,Saint Louis City
764094,neigh,Harbor Bay Isle,CA,"San Francisco-Oakland-Berkeley, CA",Alameda,Alameda County
126218,neigh,South Gate Ridge,FL,"North Port-Sarasota-Bradenton, FL",Sarasota,Sarasota County
420250,neigh,Sendera Ranch,TX,"Dallas-Fort Worth-Arlington, TX",Haslet,Denton County
27255,neigh,Steelton,PA,"Harrisburg-Carlisle, PA",Harrisburg,Dauphin County
270443,neigh,Near N Valley,NM,"Albuquerque, NM",Albuquerque,Bernalillo County
121716,neigh,Foggy Bottom,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,District of Columbia
10007,neigh,Arverne,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Queens County
276540,neigh,Riverside,TX,"Austin-Round Rock-Georgetown, TX",Austin,Travis County
196213,neigh,Mariner's Harbor,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Richmond County
275991,neigh,West Side,CT,"Bridgeport-Stamford-Norwalk, CT",Stamford,Fairfield County
403136,neigh,Emerson Hill,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Richmond County
273684,neigh,Fairmount,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Newark,Essex County
275613,neigh,Sun City Summerlin,NV,"Las Vegas-Henderson-Paradise, NV",Las Vegas,Clark County
269366,neigh,Leila Valley,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,Fulton County
416217,neigh,Lennox Village,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville,Davidson County
195730,neigh,Kenwood,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Levittown,Bucks County
203181,neigh,Riverside,OH,"Cincinnati, OH-KY-IN",Cincinnati,Hamilton County
416205,neigh,Indian Creek Estates,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville,Davidson County
804320,neigh,Stoney Hollow,TX,"Dallas-Fort Worth-Arlington, TX",Plano,Collin County
416218,neigh,Barnes Cove,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville,Davidson County
268832,neigh,Wakefield,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,District of Columbia
125629,neigh,Palm Beach Lakes,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",West Palm Beach,Palm Beach County
416212,neigh,Stanford Village Homeowners,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville,Davidson County
276375,neigh,Hikes Point,KY,"Louisville/Jefferson County, KY-IN",Louisville,Jefferson County
124505,neigh,Garden City,FL,"Jacksonville, FL",Jacksonville,Duval County
764214,neigh,Lewisville Valley,TX,"Dallas-Fort Worth-Arlington, TX",Lewisville,Denton County
738000,neigh,Highland Reserve,CA,"Sacramento-Roseville-Folsom, CA",Roseville,Placer County
