region_id,region_type,City,State,Metro Area,County
30023,city,Nellysford,VA,"Charlottesville, VA",Nelson County
24343,city,Deerfield,MI,"Adrian, MI",Lenawee County
22618,city,Williamsfield,OH,"Ashtabula, OH",Ashtabula County
44404,city,Caliente,CA,"Bakersfield, CA",Kern County
31583,city,Foley,MN,"St. Cloud, MN",Benton County
54401,city,Shipman,VA,"Charlottesville, VA",Nelson County
44854,city,Danbury,NH,"Concord, NH",Merrimack County
28120,city,Cottage Grove,TN,"Paris, TN",Henry County
395927,city,Windsor,OH,"Ashtabula, OH",Ashtabula County
23743,city,Bloomington Springs,TN,"Cookeville, TN",Jackson County
9812,city,Deer Creek,IL,"Peoria, IL",Tazewell County
138310,city,Fairmont,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County
4227,city,Courtland,CA,"Sacramento-Roseville-Folsom, CA",Sacramento County
5118,city,Helena,OH,"Fremont, OH",Sandusky County
55829,city,Houston,OH,"Sidney, OH",Shelby County
44505,city,Cedar Point,NC,"Morehead City, NC",Carteret County
25988,city,Morris Chapel,TN,,Hardin County
4864,city,Gates,TN,"Brownsville, TN",Haywood County
49799,city,Springfield,AR,,Conway County
57177,city,North Redington Beach,FL,"Tampa-St. Petersburg-Clearwater, FL",Pinellas County
32617,city,Mabel,MN,"Rochester, MN",Fillmore County
12911,city,National City,MI,,Iosco County
44619,city,Clarks Hill,IN,"Lafayette-West Lafayette, IN",Tippecanoe County
56653,city,Searsmont,ME,,Waldo County
17389,city,Chaptico,MD,"California-Lexington Park, MD",Saint Marys County
41267,city,Tracys Landing,MD,"Baltimore-Columbia-Towson, MD",Anne Arundel County
24364,city,Denton,NE,"Lincoln, NE",Lancaster County
33753,city,Rouses Point,NY,"Plattsburgh, NY",Clinton County
396177,city,Wilson-Conococheague,MD,"Hagerstown-Martinsburg, MD-WV",Washington County
12736,city,Mill Neck,NY,"New York-Newark-Jersey City, NY-NJ-PA",Nassau County
25769,city,Martin,OH,"Toledo, OH",Ottawa County
17326,city,Cartwright,OK,"Durant, OK",Bryan County
46390,city,Mangonia Park,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County
57243,city,Forest Heights,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County
15170,city,Hickman,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Smith County
4547,city,Elizabeth,AR,"Mountain Home, AR",Fulton County
129530,city,Isle of Hope,GA,"Savannah, GA",Chatham County
17954,city,Elkwood,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Culpeper County
21330,city,Winchester,MO,"St. Louis, MO-IL",Saint Louis County
45801,city,Honor,MI,"Traverse City, MI",Benzie County
36636,city,Hydes,MD,"Baltimore-Columbia-Towson, MD",Baltimore County
39615,city,Mapleton,ME,,Aroostook County
28152,city,Arapaho,OK,"Weatherford, OK",Custer County
40369,city,Pleasant Hill,OH,"Dayton-Kettering, OH",Miami County
36439,city,Rose Creek,MN,"Austin, MN",Mower County
17605,city,Cove,AR,,Polk County
56920,city,Lobelville,TN,,Perry County
24409,city,Dora,AL,"Jasper, AL",Walker County
9362,city,Wolf Creek,OR,"Grants Pass, OR",Josephine County
5420,city,Kiel,WI,"Manitowoc, WI",Manitowoc County
25866,city,Merrionette Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County
18547,city,Herminie,PA,"Pittsburgh, PA",Westmoreland County
20703,city,Sulphur Rock,AR,"Batesville, AR",Independence County
29490,city,Warrensburg,IL,"Decatur, IL",Macon County
25735,city,Mannsville,NY,"Watertown-Fort Drum, NY",Jefferson County
32726,city,Martinsville,OH,"Wilmington, OH",Clinton County
3923,city,Cadiz,OH,,Harrison County
14619,city,White Pine,TN,"Morristown, TN",Jefferson County
28459,city,Keyport,WA,"Bremerton-Silverdale-Port Orchard, WA",Kitsap County
10649,city,Cabazon,CA,"Riverside-San Bernardino-Ontario, CA",Riverside County
42032,city,Clinton,OH,"Akron, OH",Summit County
24720,city,Fletcher,OH,"Dayton-Kettering, OH",Miami County
8021,city,Wykoff,MN,"Rochester, MN",Fillmore County
174813,city,Saint George,MO,"St. Louis, MO-IL",Saint Louis County
32365,city,Laflin,PA,"Scranton--Wilkes-Barre, PA",Luzerne County
824031,city,Middlesex,NY,"Rochester, NY",Yates County
41783,city,Woodleaf,NC,"Charlotte-Concord-Gastonia, NC-SC",Rowan County
36867,city,Deer Trail,CO,"Denver-Aurora-Lakewood, CO",Arapahoe County
19912,city,Perryville,KY,"Danville, KY",Boyle County
52200,city,Geraldine,AL,"Fort Payne, AL",De Kalb County
49145,city,Glenbrook,NV,"Gardnerville Ranchos, NV",Douglas County
28805,city,Hanley Hills,MO,"St. Louis, MO-IL",Saint Louis County
37917,city,Cleveland,OK,"Tulsa, OK",Pawnee County
234772,city,Lakeside,TX,"Dallas-Fort Worth-Arlington, TX",Tarrant County
32868,city,Millport,NY,"Elmira, NY",Chemung County
35023,city,Casnovia,MI,"Muskegon, MI",Muskegon County
36922,city,Freedom,NH,,Carroll County
184793,city,Washington Park,NC,"Washington, NC",Beaufort County
14124,city,Thomasboro,IL,"Champaign-Urbana, IL",Champaign County
20631,city,Star City,WV,"Morgantown, WV",Monongalia County
42676,city,Parksville,KY,"Danville, KY",Boyle County
38408,city,Enville,TN,"Jackson, TN",Chester County
826192,city,Russell,NY,"Ogdensburg-Massena, NY",Saint Lawrence County
48459,city,Westview,KY,,Breckinridge County
56372,city,North Fairfield,OH,"Norwalk, OH",Huron County
37330,city,Bean Station,TN,"Morristown, TN",Grainger County
39047,city,Hortonville,WI,"Appleton, WI",Outagamie County
20110,city,Rayle,GA,"Athens-Clarke County, GA",Wilkes County
44110,city,Bellefonte,DE,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",New Castle County
49497,city,Raymond,CA,"Madera, CA",Madera County
7392,city,Terrace Park,OH,"Cincinnati, OH-KY-IN",Hamilton County
29803,city,Sterling,AK,,Kenai Peninsula Borough
54130,city,Richlandtown,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County
45176,city,Erick,OK,"Elk City, OK",Beckham County
53578,city,Nicasio,CA,"San Francisco-Oakland-Berkeley, CA",Marin County
24589,city,Emerald Isle,NC,"Morehead City, NC",Carteret County
396729,city,Fairview Lanes,OH,"Sandusky, OH",Erie County
21327,city,Wilsons Mills,NC,"Raleigh-Cary, NC",Johnston County
36082,city,Lexington,OK,"Oklahoma City, OK",Cleveland County
20483,city,Shrewsbury,VT,"Rutland, VT",Rutland County
36861,city,Columbia City,OR,"Portland-Vancouver-Hillsboro, OR-WA",Columbia County
109121,city,Highfill,AR,"Fayetteville-Springdale-Rogers, AR",Benton County
56269,city,Pelham,MA,"Springfield, MA",Hampshire County
29531,city,Rudolph,OH,"Toledo, OH",Wood County
36135,city,Pocasset,OK,"Oklahoma City, OK",Grady County
4930,city,Goldvein,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fauquier County
23181,city,Carrabelle,FL,,Franklin County
49626,city,Richards,TX,"Houston-The Woodlands-Sugar Land, TX",Montgomery County
826186,city,Waddington,NY,"Ogdensburg-Massena, NY",Saint Lawrence County
19194,city,Maplewood,OH,"Sidney, OH",Shelby County
23225,city,Orlinda,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Robertson County
30429,city,Bentleyville,OH,"Cleveland-Elyria, OH",Cuyahoga County
47281,city,Randall,MN,,Morrison County
22845,city,Trezevant,TN,,Carroll County
55373,city,Cedar Bluffs,NE,"Omaha-Council Bluffs, NE-IA",Saunders County
43265,city,Ruthven,IA,"Spencer, IA",Palo Alto County
9518,city,West Leechburg,PA,"Pittsburgh, PA",Westmoreland County
6553,city,Polkton,NC,"Charlotte-Concord-Gastonia, NC-SC",Anson County
29144,city,Lincoln,MI,,Alcona County
50545,city,Okeene,OK,,Blaine County
14137,city,Tieton,WA,"Yakima, WA",Yakima County
45374,city,Fulton,CA,"Santa Rosa-Petaluma, CA",Sonoma County
16706,city,Alberton,MT,"Missoula, MT",Mineral County
17525,city,Collins,OH,"Norwalk, OH",Huron County
36233,city,Wilderville,OR,"Grants Pass, OR",Josephine County
30043,city,Scotts Mills,OR,"Salem, OR",Marion County
20278,city,Rushsylvania,OH,"Bellefontaine, OH",Logan County
23106,city,Carney,OK,"Oklahoma City, OK",Lincoln County
36647,city,Star Tannery,VA,"Winchester, VA-WV",Frederick County
21221,city,West Easton,PA,"Allentown-Bethlehem-Easton, PA-NJ",Northampton County
28866,city,Princeton,KS,"Ottawa, KS",Franklin County
29277,city,Steinhatchee,FL,,Dixie County
27194,city,Southern Shores,NC,"Kill Devil Hills, NC",Dare County
45789,city,Holmes Beach,FL,"North Port-Sarasota-Bradenton, FL",Manatee County
30947,city,Clintondale,NY,"Kingston, NY",Ulster County
37511,city,Boswell,OK,,Choctaw County
23957,city,Carlos,MN,"Alexandria, MN",Douglas County
14029,city,Sullivans Island,SC,"Charleston-North Charleston, SC",Charleston County
22253,city,Randolph,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Dakota County
3399,city,Amo,IN,"Indianapolis-Carmel-Anderson, IN",Hendricks County
5982,city,Minier,IL,"Peoria, IL",Tazewell County
227014,city,Gruetli Laager,TN,,Grundy County
25678,city,Luna Pier,MI,"Monroe, MI",Monroe County
28361,city,Bee Spring,KY,"Bowling Green, KY",Edmonson County
10333,city,Belleair Beach,FL,"Tampa-St. Petersburg-Clearwater, FL",Pinellas County
51848,city,Edgecomb,ME,,Lincoln County
50411,city,Murtaugh,ID,"Burley, ID",Cassia County
13735,city,Schuyler,VA,"Charlottesville, VA",Albemarle County
25661,city,Lowell,OR,"Eugene-Springfield, OR",Lane County
29035,city,Martell,NE,"Lincoln, NE",Lancaster County
11310,city,Elmwood,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Smith County
55017,city,Walker,IA,"Cedar Rapids, IA",Linn County
56969,city,North Hero,VT,"Burlington-South Burlington, VT",Grand Isle County
32270,city,Kechi,KS,"Wichita, KS",Sedgwick County
21391,city,Worthville,KY,,Owen County
32799,city,Medford,OK,,Grant County
17033,city,Bingen,WA,"Portland-Vancouver-Hillsboro, OR-WA",Skamania County
201399,city,Hunter,OH,"Cincinnati, OH-KY-IN",Warren County
48738,city,Boulevard,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County
34403,city,Upsala,MN,,Morrison County
30428,city,Bentley,KS,"Wichita, KS",Sedgwick County
4576,city,Elora,TN,,Lincoln County
54570,city,Stone Harbor,NJ,"Ocean City, NJ",Cape May County
26567,city,Point Reyes Station,CA,"San Francisco-Oakland-Berkeley, CA",Marin County
232060,city,Chateau Woods,TX,"Houston-The Woodlands-Sugar Land, TX",Montgomery County
31399,city,Elkton,OR,"Roseburg, OR",Douglas County
23119,city,Sparks,OK,"Oklahoma City, OK",Lincoln County
14995,city,Cutler,IN,"Lafayette-West Lafayette, IN",Carroll County
8087,city,Carlotta,CA,"Eureka-Arcata, CA",Humboldt County
50725,city,Andale,KS,"Wichita, KS",Sedgwick County
13748,city,Seabrook Island,SC,"Charleston-North Charleston, SC",Charleston County
46514,city,Metamora,OH,"Toledo, OH",Fulton County
4003,city,Casstown,OH,"Dayton-Kettering, OH",Miami County
175343,city,Velda Village,MO,"St. Louis, MO-IL",Saint Louis County
53240,city,McLean,IL,"Bloomington, IL",McLean County
13162,city,Palatine Bridge,NY,"Amsterdam, NY",Montgomery County
30646,city,Buffalo,KY,"Elizabethtown-Fort Knox, KY",Larue County
53151,city,Maple Bluff,WI,"Madison, WI",Dane County
396614,city,Plainview,TN,"Knoxville, TN",Union County
30421,city,Bennett,NC,"Durham-Chapel Hill, NC",Chatham County
13347,city,Point Lookout,NY,"New York-Newark-Jersey City, NY-NJ-PA",Nassau County
33689,city,Rives,TN,"Union City, TN",Obion County
48454,city,Weston,NE,"Omaha-Council Bluffs, NE-IA",Saunders County
18119,city,Fleming,GA,"Hinesville, GA",Liberty County
16639,city,Whittemore,MI,,Iosco County
7118,city,Sodus Point,NY,"Rochester, NY",Wayne County
52573,city,Hopedale,IL,"Peoria, IL",Tazewell County
40985,city,South Salem,OH,"Chillicothe, OH",Ross County
40988,city,South Thomaston,ME,,Knox County
15433,city,Jeffersonton,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Culpeper County
25538,city,Lee,FL,,Madison County
42196,city,Hickman,CA,"Modesto, CA",Stanislaus County
20582,city,South Solon,OH,"Columbus, OH",Madison County
31282,city,Dunkirk,OH,,Hardin County
30821,city,Cerulean,KY,"Clarksville, TN-KY",Christian County
20530,city,Smithville,GA,"Albany, GA",Lee County
39717,city,McCurtain,OK,,Haskell County
21015,city,Urbanna,VA,,Middlesex County
35001,city,Angelus Oaks,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County
40136,city,Ogden Dunes,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Porter County
42116,city,Calverton Park,MO,"St. Louis, MO-IL",Saint Louis County
3587,city,Beaverdam,OH,"Lima, OH",Allen County
21877,city,Elk Rapids,MI,,Antrim County
54085,city,Redford,NY,"Plattsburgh, NY",Clinton County
8626,city,Indiahoma,OK,"Lawton, OK",Comanche County
32668,city,Mannsville,OK,,Johnston County
30957,city,Coal City,WV,"Beckley, WV",Raleigh County
41871,city,Blodgett,OR,"Newport, OR",Lincoln County
46191,city,Leasburg,NC,"Durham-Chapel Hill, NC",Caswell County
8936,city,Red Oak,OK,,Latimer County
13941,city,Southwest Harbor,ME,,Hancock County
20716,city,Sunfish Lake,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Dakota County
10378,city,Berrien Springs,MI,"Niles, MI",Berrien County
32460,city,Leavittsburg,OH,"Youngstown-Warren-Boardman, OH-PA",Trumbull County
3600,city,Beggs,OK,"Tulsa, OK",Okmulgee County
12804,city,Monte Rio,CA,"Santa Rosa-Petaluma, CA",Sonoma County
38157,city,Deal,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County
29359,city,Wingina,VA,"Charlottesville, VA",Nelson County
24105,city,Clear Lake Shores,TX,"Houston-The Woodlands-Sugar Land, TX",Galveston County
47428,city,Rockford,WA,"Spokane-Spokane Valley, WA",Spokane County
37498,city,Boone,CO,"Pueblo, CO",Pueblo County
50285,city,Trivoli,IL,"Peoria, IL",Peoria County
28750,city,Dorsey,IL,"St. Louis, MO-IL",Madison County
6754,city,Richville,NY,"Ogdensburg-Massena, NY",Saint Lawrence County
11609,city,Glade Valley,NC,,Alleghany County
21381,city,Woodstock,NH,"Lebanon, NH-VT",Grafton County
39153,city,Jasper,TN,"Chattanooga, TN-GA",Marion County
34031,city,Solway,MN,"Bemidji, MN",Hubbard County
48794,city,Chinquapin,NC,,Duplin County
42864,city,Point Venture,TX,"Austin-Round Rock-Georgetown, TX",Travis County
9155,city,Longport,NJ,"Atlantic City-Hammonton, NJ",Atlantic County
48059,city,Turners Station,KY,"Louisville/Jefferson County, KY-IN",Henry County
40068,city,North Prairie,WI,"Milwaukee-Waukesha, WI",Waukesha County
48230,city,Verden,OK,"Oklahoma City, OK",Caddo County
15690,city,Rohrersville,MD,"Hagerstown-Martinsburg, MD-WV",Washington County
35278,city,Agra,OK,"Oklahoma City, OK",Lincoln County
7812,city,Welcome,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Charles County
15366,city,Dillon Beach,CA,"San Francisco-Oakland-Berkeley, CA",Marin County
8719,city,Jenkinsburg,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Butts County
41567,city,Washington,CT,"Torrington, CT",Litchfield County
9590,city,Hamburg,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Carver County
10899,city,Coleman,OK,,Johnston County
7948,city,Williamsport,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Maury County
50543,city,Loch Sheldrake,NY,,Sullivan County
29400,city,Tahoe Vista,CA,"Sacramento-Roseville-Folsom, CA",Placer County
10532,city,Brandy Station,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Culpeper County
19945,city,Pine Bluffs,WY,"Cheyenne, WY",Laramie County
11143,city,Dover,MN,"Rochester, MN",Olmsted County
19702,city,Nucla,CO,"Montrose, CO",Montrose County
46253,city,Lincoln,NH,"Lebanon, NH-VT",Grafton County
42916,city,Okarche,OK,"Oklahoma City, OK",Kingfisher County
20658,city,Stewart,TN,"Clarksville, TN-KY",Houston County
124109,city,Cypress Lakes,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County
9015,city,Newport,DE,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",New Castle County
29739,city,Ocean Gate,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County
40384,city,Pocono Pines,PA,"East Stroudsburg, PA",Monroe County
54278,city,Saint Paul,OR,"Salem, OR",Marion County
10479,city,Bodega Bay,CA,"Santa Rosa-Petaluma, CA",Sonoma County
54927,city,Velma,OK,"Duncan, OK",Stephens County
11849,city,Head of the Harbor,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County
6808,city,Rockledge,GA,"Dublin, GA",Laurens County
13163,city,Palermo,CA,"Chico, CA",Butte County
27485,city,Tulelake,CA,,Modoc County
48555,city,Wittman,MD,"Easton, MD",Talbot County
5381,city,Kearny,AZ,"Phoenix-Mesa-Chandler, AZ",Pinal County
36919,city,Petersham,MA,"Worcester, MA-CT",Worcester County
16181,city,Soper,OK,,Choctaw County
22990,city,Ruston,WA,"Seattle-Tacoma-Bellevue, WA",Pierce County
29307,city,Willshire,OH,"Van Wert, OH",Van Wert County
51531,city,Constableville,NY,,Lewis County
17675,city,Cygnet,OH,"Toledo, OH",Wood County
41354,city,Upperville,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Loudoun County
17144,city,Branchport,NY,"Rochester, NY",Yates County
29968,city,Georgetown,FL,"Palatka, FL",Putnam County
23867,city,Buckeye Lake,OH,"Columbus, OH",Licking County
17945,city,Elida,OH,"Lima, OH",Allen County
39841,city,Monteagle,TN,"Chattanooga, TN-GA",Marion County
28475,city,Gadsden,TN,"Jackson, TN",Crockett County
36332,city,Sedley,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Southampton County
29109,city,Melrose,MN,"St. Cloud, MN",Stearns County
33611,city,Redington Beach,FL,"Tampa-St. Petersburg-Clearwater, FL",Pinellas County
54330,city,Saybrook,IL,"Bloomington, IL",McLean County
23303,city,Lenzburg,IL,"St. Louis, MO-IL",Saint Clair County
30306,city,Avila Beach,CA,"San Luis Obispo-Paso Robles, CA",San Luis Obispo County
9547,city,Weston,CO,,Las Animas County
24870,city,Glen Daniel,WV,"Beckley, WV",Raleigh County
124901,city,Jupiter Island,FL,"Port St. Lucie, FL",Martin County
52605,city,Hunting Valley,OH,"Cleveland-Elyria, OH",Cuyahoga County
4833,city,Gadsden,SC,"Columbia, SC",Richland County
397655,city,Woodstock,ME,,Oxford County
51709,city,Dewey,IL,"Champaign-Urbana, IL",Champaign County
30273,city,Ashford,WA,"Seattle-Tacoma-Bellevue, WA",Pierce County
3915,city,Buxton,NC,"Kill Devil Hills, NC",Dare County
9441,city,Towanda,IL,"Bloomington, IL",McLean County
11201,city,East Bangor,PA,"Allentown-Bethlehem-Easton, PA-NJ",Northampton County
30538,city,Boswell,IN,"Lafayette-West Lafayette, IN",Warren County
22303,city,Parks,AZ,"Flagstaff, AZ",Coconino County
21198,city,Wellsburg,NY,"Elmira, NY",Chemung County
57155,city,Clarence,MO,,Shelby County
49580,city,Rickreall,OR,"Salem, OR",Polk County
199715,city,Brookfield Center,OH,"Youngstown-Warren-Boardman, OH-PA",Trumbull County
25245,city,Indian Shores,FL,"Tampa-St. Petersburg-Clearwater, FL",Pinellas County
5888,city,Meadview,AZ,"Lake Havasu City-Kingman, AZ",Mohave County
5390,city,Kellyville,OK,"Tulsa, OK",Creek County
27281,city,Stoddard,NH,"Keene, NH",Cheshire County
29853,city,Vida,OR,"Eugene-Springfield, OR",Lane County
12857,city,Mount Blanchard,OH,"Findlay, OH",Hancock County
125102,city,Limestone Creek,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County
9966,city,Yachats,OR,"Newport, OR",Lincoln County
28145,city,Dearborn,MO,"Kansas City, MO-KS",Platte County
52446,city,Haviland,OH,,Paulding County
16557,city,Fisher,IL,"Champaign-Urbana, IL",Champaign County
10244,city,Bally,PA,"Reading, PA",Berks County
37539,city,Bradley,CA,"Salinas, CA",Monterey County
33310,city,Palmyra,MI,"Adrian, MI",Lenawee County
33488,city,Port Barrington,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County
28963,city,Mannford,OK,"Tulsa, OK",Creek County
4910,city,Glenelg,MD,"Baltimore-Columbia-Towson, MD",Howard County
157547,city,Chevy Chase View,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County
56601,city,Saulsbury,TN,,Hardeman County
26093,city,New Ellenton,SC,"Augusta-Richmond County, GA-SC",Aiken County
18121,city,Fletcher,VT,"Burlington-South Burlington, VT",Franklin County
28950,city,Oxford,MD,"Easton, MD",Talbot County
54532,city,Stanford,IL,"Bloomington, IL",McLean County
13361,city,Poplar Branch,NC,"Virginia Beach-Norfolk-Newport News, VA-NC",Currituck County
43949,city,Artie,WV,"Beckley, WV",Fayette County
42452,city,Fleming,CO,"Sterling, CO",Logan County
29553,city,Wentworth,NH,"Lebanon, NH-VT",Grafton County
27667,city,Varnell,GA,"Dalton, GA",Whitfield County
46868,city,Ogunquit,ME,"Portland-South Portland, ME",York County
51259,city,Canton,MN,"Rochester, MN",Fillmore County
132519,city,Walnut Grove,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Walton County
25419,city,Kirtland Hills,OH,"Cleveland-Elyria, OH",Lake County
23273,city,Hampton,IA,,Franklin County
8153,city,Arrowsmith,IL,"Bloomington, IL",McLean County
33156,city,North Lawrence,NY,"Ogdensburg-Massena, NY",Saint Lawrence County
49121,city,Elkhart,IA,"Des Moines-West Des Moines, IA",Polk County
21363,city,Woodacre,CA,"San Francisco-Oakland-Berkeley, CA",Marin County
10602,city,Buckman,MN,,Morrison County
31065,city,Cottage City,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County
5443,city,Kirksey,KY,"Murray, KY",Calloway County
47628,city,Seeley Lake,MT,"Missoula, MT",Missoula County
50963,city,Bennett,CO,"Denver-Aurora-Lakewood, CO",Adams County
4080,city,Chesterfield,MA,"Springfield, MA",Hampshire County
396558,city,Taft Mosswood,CA,"Stockton, CA",San Joaquin County
56726,city,Ship Bottom,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County
20613,city,Springfield,NH,"Lebanon, NH-VT",Sullivan County
49712,city,Northport,ME,,Waldo County
18317,city,Goldsboro,MD,,Caroline County
24776,city,Fowler,OH,"Youngstown-Warren-Boardman, OH-PA",Trumbull County
3676,city,Birchwood,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
20095,city,Ramah,CO,"Denver-Aurora-Lakewood, CO",Elbert County
3738,city,Bokoshe,OK,,Le Flore County
53511,city,Neuse Forest,NC,"New Bern, NC",Craven County
36601,city,Happy Jack,AZ,"Flagstaff, AZ",Coconino County
35854,city,Red Feather Lakes,CO,"Fort Collins, CO",Larimer County
28838,city,Fountain,MI,"Ludington, MI",Mason County
39190,city,Kansas,OH,"Tiffin, OH",Seneca County
7461,city,Tranquillity,CA,"Fresno, CA",Fresno County
16516,city,Como,CO,"Denver-Aurora-Lakewood, CO",Park County
42846,city,Lindsay,OK,,Garvin County
24353,city,Dellwood,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
55585,city,Beach Haven,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County
21966,city,Goodspring,TN,,Giles County
33218,city,Odessa,NY,,Schuyler County
33094,city,New Salem,MA,"Springfield, MA",Franklin County
399207,city,East Liberty,OH,"Bellefontaine, OH",Logan County
38719,city,Glenwood Landing,NY,"New York-Newark-Jersey City, NY-NJ-PA",Nassau County
22248,city,Owls Head,ME,,Knox County
18718,city,Ivyland,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County
35272,city,Cobb Island,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Charles County
8958,city,Marydel,MD,"Baltimore-Columbia-Towson, MD",Caroline County
32973,city,Mount Cory,OH,"Findlay, OH",Hancock County
47376,city,Richmond,KS,"Ottawa, KS",Franklin County
18827,city,Kidder,MO,"Kansas City, MO-KS",Caldwell County
